Country,Region,Year,Population_Million,GDP_per_Capita_USD,Internet_Penetration_Percent,EWaste_Generated_kt,EWaste_per_Capita_kg,EWaste_Formally_Recycled_kt,Recycling_Rate_Percent
Germany,Europe,2023,81.65,47312.7,86.5,1765.26,21.62,967.11,54.79
Germany,Europe,2024,81.73,48022.4,92.6,1704.11,20.85,940.37,55.18
United Kingdom,Europe,2015,65.0,40000.0,63.6,1440.75,22.17,586.28,40.69
United Kingdom,Europe,2016,65.32,40600.0,66.6,1468.87,22.49,608.08,41.4
United Kingdom,Europe,2017,65.65,41209.0,68.6,1571.28,23.93,669.4,42.6
United Kingdom,Europe,2018,65.98,41827.1,75.6,1547.76,23.46,624.98,40.38
United Kingdom,Europe,2019,66.31,42454.5,78.9,1602.15,24.16,665.22,41.52
United Kingdom,Europe,2020,66.64,43091.4,83.8,1598.97,23.99,735.18,45.98
United Kingdom,Europe,2021,66.97,43737.7,81.2,1599.26,23.88,693.26,43.35
United Kingdom,Europe,2022,67.31,44393.8,86.7,1603.24,23.82,733.81,45.77
United Kingdom,Europe,2023,67.65,45059.7,89.0,1690.37,24.99,824.98,48.8
United Kingdom,Europe,2024,67.98,45735.6,97.4,1784.68,26.25,841.86,47.17
France,Europe,2015,67.0,38000.0,62.9,1399.28,20.88,562.51,40.2
France,Europe,2016,67.2,38532.0,69.4,1415.73,21.07,599.72,42.36
France,Europe,2017,67.4,39071.4,69.3,1438.04,21.34,626.09,43.54
France,Europe,2018,67.6,39618.4,75.7,1375.18,20.34,599.25,43.58
France,Europe,2019,67.81,40173.1,77.3,1473.16,21.73,628.02,42.63
France,Europe,2020,68.01,40735.5,80.3,1504.43,22.12,666.8,44.32
France,Europe,2021,68.22,41305.8,83.7,1513.73,22.19,675.06,44.6
France,Europe,2022,68.42,41884.1,88.1,1561.16,22.82,793.96,50.86
France,Europe,2023,68.62,42470.5,90.0,1495.48,21.79,701.41,46.9
France,Europe,2024,68.83,43065.1,99.0,1609.4,23.38,828.63,51.49
Brazil,South America,2015,205.0,8700.0,32.9,1459.58,7.12,46.27,3.17
Brazil,South America,2016,206.43,8874.0,38.4,1561.68,7.56,50.72,3.25
Brazil,South America,2017,207.88,9051.5,40.8,1597.11,7.68,57.29,3.59
Brazil,South America,2018,209.34,9232.5,42.7,1749.54,8.36,77.94,4.46
Brazil,South America,2019,210.8,9417.2,53.0,1901.27,9.02,76.78,4.04
Brazil,South America,2020,212.28,9605.5,57.3,2053.48,9.67,99.53,4.85
Brazil,South America,2021,213.76,9797.6,64.5,2077.03,9.72,114.14,5.5
Brazil,South America,2022,215.26,9993.6,70.8,2280.4,10.59,133.62,5.86
Brazil,South America,2023,216.77,10193.4,72.8,2573.99,11.87,170.77,6.63
Brazil,South America,2024,218.28,10397.3,87.6,2595.93,11.89,177.56,6.84
Nigeria,Africa,2015,182.0,2700.0,31.5,319.81,1.76,6.36,1.99
Nigeria,Africa,2016,186.73,2754.0,35.1,372.44,1.99,7.63,2.05
Nigeria,Africa,2017,191.59,2809.1,47.5,396.51,2.07,9.11,2.3
Nigeria,Africa,2018,196.57,2865.3,51.1,451.13,2.3,10.95,2.43
Nigeria,Africa,2019,201.68,2922.6,49.9,525.33,2.6,15.6,2.97
Nigeria,Africa,2020,206.92,2981.0,58.4,539.32,2.61,17.65,3.27
Nigeria,Africa,2021,212.3,3040.6,63.9,614.49,2.89,21.41,3.48
Nigeria,Africa,2022,217.82,3101.5,69.7,670.76,3.08,20.55,3.06
Nigeria,Africa,2023,223.49,3163.5,83.8,738.94,3.31,27.61,3.74
Nigeria,Africa,2024,229.3,3226.7,85.4,789.66,3.44,33.55,4.25
South Africa,Africa,2015,55.0,6100.0,33.5,372.96,6.78,20.77,5.57
South Africa,Africa,2016,55.71,6191.5,37.5,380.37,6.83,23.22,6.1
South Africa,Africa,2017,56.44,6284.4,42.4,406.87,7.21,27.11,6.66
South Africa,Africa,2018,57.17,6378.6,50.3,425.23,7.44,31.43,7.39
South Africa,Africa,2019,57.92,6474.3,60.8,479.36,8.28,35.37,7.38
South Africa,Africa,2020,58.67,6571.4,62.3,458.21,7.81,38.27,8.35
South Africa,Africa,2021,59.43,6670.0,66.0,522.05,8.78,45.54,8.72
South Africa,Africa,2022,60.2,6770.1,75.3,542.5,9.01,50.73,9.35
South Africa,Africa,2023,60.99,6871.6,81.6,591.96,9.71,58.91,9.95
South Africa,Africa,2024,61.78,6974.7,86.9,628.71,10.18,72.17,11.48
Australia,Oceania,2015,24.0,56000.0,66.5,503.17,20.97,146.72,29.16
Australia,Oceania,2016,24.34,57008.0,68.2,540.26,22.2,165.96,30.72
Australia,Oceania,2017,24.68,58034.1,72.1,566.42,22.95,173.25,30.59
Australia,Oceania,2018,25.02,59078.8,76.2,557.49,22.28,178.15,31.96
Australia,Oceania,2019,25.37,60142.2,79.6,590.99,23.29,203.66,34.46
Australia,Oceania,2020,25.73,61224.7,79.4,593.34,23.06,208.26,35.1
Australia,Oceania,2021,26.09,62326.8,83.2,615.61,23.6,212.78,34.56
Australia,Oceania,2022,26.45,63448.7,90.2,638.07,24.12,218.23,34.2
Australia,Oceania,2023,26.82,64590.7,91.3,625.1,23.3,214.61,34.33
Australia,Oceania,2024,27.2,65753.4,93.3,678.46,24.94,262.12,38.64
Canada,North America,2015,36.0,43000.0,65.2,748.52,20.79,157.29,21.01
Canada,North America,2016,36.32,43688.0,67.7,750.55,20.66,178.37,23.76
Canada,North America,2017,36.65,44387.0,71.8,764.42,20.86,175.55,22.96
Canada,North America,2018,36.98,45097.2,74.5,788.4,21.32,181.74,23.05
Canada,North America,2019,37.31,45818.8,76.1,826.54,22.15,199.47,24.13
Canada,North America,2020,37.65,46551.9,77.2,845.33,22.45,199.98,23.66
Canada,North America,2021,37.99,47296.7,83.6,840.38,22.12,218.41,25.99
Canada,North America,2022,38.33,48053.4,85.7,917.65,23.94,258.94,28.22
Canada,North America,2023,38.68,48822.3,89.0,898.57,23.23,237.87,26.47
Canada,North America,2024,39.02,49603.4,90.3,911.91,23.37,265.99,29.17
Russia,Europe,2015,144.0,9300.0,29.7,1316.19,9.14,113.36,8.61
Russia,Europe,2016,143.86,9467.4,34.9,1375.82,9.56,120.7,8.77
Russia,Europe,2017,143.71,9637.8,42.5,1435.57,9.99,129.12,8.99
Russia,Europe,2018,143.57,9811.3,49.8,1461.1,10.18,139.39,9.54
Russia,Europe,2019,143.42,9987.9,60.9,1637.31,11.42,173.3,10.58
Russia,Europe,2020,143.28,10167.7,61.1,1607.92,11.22,179.65,11.17
Russia,Europe,2021,143.14,10350.7,64.1,1839.78,12.85,200.34,10.89
Russia,Europe,2022,143.0,10537.0,71.2,1778.31,12.44,191.2,10.75
Russia,Europe,2023,142.85,10726.7,79.9,1856.26,12.99,238.47,12.85
Russia,Europe,2024,142.71,10919.8,83.3,2104.65,14.75,297.98,14.16
Indonesia,Asia,2015,258.0,3400.0,26.0,878.66,3.41,36.01,4.1
Indonesia,Asia,2016,260.84,3519.0,34.7,1049.77,4.02,48.47,4.62
Indonesia,Asia,2017,263.71,3642.2,41.9,1040.23,3.94,52.78,5.07
Indonesia,Asia,2018,266.61,3769.6,46.5,1253.3,4.7,59.75,4.77
Indonesia,Asia,2019,269.54,3901.6,53.1,1331.88,4.94,75.38,5.66
Indonesia,Asia,2020,272.51,4038.1,60.1,1494.91,5.49,87.09,5.83
Indonesia,Asia,2021,275.5,4179.5,68.8,1623.0,5.89,111.68,6.88
Indonesia,Asia,2022,278.53,4325.7,76.6,1721.97,6.18,116.25,6.75
Indonesia,Asia,2023,281.6,4477.2,83.5,1983.43,7.04,152.17,7.67
Indonesia,Asia,2024,284.7,4633.9,85.2,2171.66,7.63,199.79,9.2
Mexico,South America,2015,127.0,9500.0,29.3,1146.24,9.03,62.34,5.44
Mexico,South America,2016,128.52,9690.0,40.2,1180.51,9.19,65.8,5.57
Mexico,South America,2017,130.07,9883.8,45.4,1183.6,9.1,71.4,6.03
Mexico,South America,2018,131.63,10081.5,42.2,1226.85,9.32,72.7,5.93
Mexico,South America,2019,133.21,10283.1,59.0,1365.14,10.25,96.19,7.05
Mexico,South America,2020,134.81,10488.8,56.4,1465.67,10.87,116.45,7.94
Mexico,South America,2021,136.42,10698.5,67.8,1474.56,10.81,116.67,7.91
Mexico,South America,2022,138.06,10912.5,72.5,1649.62,11.95,126.75,7.68
Mexico,South America,2023,139.72,11130.8,80.0,1685.95,12.07,161.25,9.56
Mexico,South America,2024,141.39,11353.4,81.8,1811.88,12.81,176.44,9.74
South Korea,Asia,2015,51.0,27000.0,63.0,839.92,16.47,484.02,57.63
South Korea,Asia,2016,51.15,27540.0,66.4,873.92,17.08,474.93,54.34
South Korea,Asia,2017,51.31,28090.8,69.9,877.93,17.11,471.71,53.73
South Korea,Asia,2018,51.46,28652.6,74.1,868.69,16.88,548.68,63.16
South Korea,Asia,2019,51.61,29225.7,76.8,902.5,17.49,532.47,59.0
South Korea,Asia,2020,51.77,29810.2,81.5,936.85,18.1,572.14,61.07
South Korea,Asia,2021,51.92,30406.4,82.4,949.5,18.29,554.58,58.41
South Korea,Asia,2022,52.08,31014.5,88.7,918.93,17.64,518.44,56.42
South Korea,Asia,2023,52.24,31634.8,90.2,1059.7,20.29,648.38,61.19
South Korea,Asia,2024,52.39,32267.5,94.2,1042.8,19.9,756.73,72.57
Kenya,Africa,2015,47.0,1400.0,25.2,70.23,1.49,1.34,1.9
Kenya,Africa,2016,48.22,1442.0,31.8,80.05,1.66,1.69,2.12
Kenya,Africa,2017,49.48,1485.3,47.3,88.06,1.78,2.02,2.29
Kenya,Africa,2018,50.76,1529.8,52.8,104.03,2.05,2.77,2.66
Kenya,Africa,2019,52.08,1575.7,59.0,114.65,2.2,3.21,2.8
Kenya,Africa,2020,53.44,1623.0,60.0,131.18,2.45,4.01,3.05
Kenya,Africa,2021,54.83,1671.7,69.4,141.86,2.59,4.68,3.3
Kenya,Africa,2022,56.25,1721.8,74.5,173.84,3.09,6.3,3.62
Kenya,Africa,2023,57.71,1773.5,77.1,181.95,3.15,7.61,4.18
Kenya,Africa,2024,59.21,1826.7,82.5,204.01,3.45,9.64,4.73
Sweden,Europe,2015,10.0,51000.0,64.5,231.87,23.19,138.77,59.85
Sweden,Europe,2016,10.08,51765.0,69.5,228.23,22.64,134.32,58.85
Sweden,Europe,2017,10.16,52541.5,71.2,242.93,23.91,141.42,58.21
Sweden,Europe,2018,10.24,53329.6,75.1,249.65,24.38,141.45,56.66
Sweden,Europe,2019,10.32,54129.5,75.5,244.1,23.64,156.76,64.22
Sweden,Europe,2020,10.41,54941.5,80.1,240.3,23.09,139.2,57.93
Sweden,Europe,2021,10.49,55765.6,84.3,261.18,24.9,158.83,60.81
Sweden,Europe,2022,10.57,56602.1,83.6,251.19,23.76,161.05,64.12
Sweden,Europe,2023,10.66,57451.1,87.3,264.41,24.81,172.2,65.13
Sweden,Europe,2024,10.74,58312.9,90.8,271.93,25.31,187.42,68.92
Vietnam,Asia,2015,92.0,2100.0,31.6,282.92,3.08,8.01,2.83
Vietnam,Asia,2016,92.92,2205.0,33.7,322.81,3.47,9.34,2.89
Vietnam,Asia,2017,93.85,2315.2,43.3,352.9,3.76,12.68,3.59
Vietnam,Asia,2018,94.79,2431.0,47.9,381.86,4.03,15.31,4.01
Vietnam,Asia,2019,95.74,2552.6,55.5,451.27,4.71,20.07,4.45
Vietnam,Asia,2020,96.69,2680.2,59.3,482.76,4.99,22.76,4.71
Vietnam,Asia,2021,97.66,2814.2,67.5,554.48,5.68,28.85,5.2
Vietnam,Asia,2022,98.64,2954.9,71.8,652.61,6.62,39.81,6.1
Vietnam,Asia,2023,99.62,3102.7,72.8,713.57,7.16,44.95,6.3
Vietnam,Asia,2024,100.62,3257.8,83.9,748.81,7.44,48.01,6.41
Argentina,South America,2015,43.0,13500.0,65.7,408.73,9.51,31.01,7.59
Argentina,South America,2016,43.39,13635.0,63.6,425.85,9.82,33.22,7.8
Argentina,South America,2017,43.78,13771.4,68.0,453.0,10.35,37.7,8.32
Argentina,South America,2018,44.17,13909.1,73.2,488.22,11.05,42.58,8.72
Argentina,South America,2019,44.57,14048.2,77.4,504.73,11.32,51.57,10.22
Argentina,South America,2020,44.97,14188.6,78.3,523.64,11.64,50.23,9.59
Argentina,South America,2021,45.37,14330.5,83.1,559.02,12.32,56.21,10.06
Argentina,South America,2022,45.78,14473.8,86.7,564.15,12.32,64.93,11.51
Argentina,South America,2023,46.2,14618.6,88.5,619.3,13.41,72.59,11.72
Argentina,South America,2024,46.61,14764.8,92.8,611.74,13.12,76.98,12.58
